schid,c0110,c0112,c0114,c0116,c0120,c0122,c0124,c0126,c0128,c0130,c0132,c0134,c0136,c0138,c0140,c0141,c0142,c0143,c0144,c0146,c0148,c0150,c0152,c0154,c0156,c0158,c0160,c0162,c0164,c0166,c0168,c0169,c0170,c0171,c0172,c0173,c0174,c0176,c0178,c0180,c0182,c0184,c0186,c0188,c0190,c0192,c0194,c0196,c0198,c0200,c0202,c0204,c0206,c0208,c0210,c0212,c0214,c0216,c0218,c0220,c0222,c0224,c0226,c0228,c0230,c0244,c0246,c0248,c0250,c0252,c0254,c0256,c0258,c0260,c0262,c0264,c0266,c0268,c0270,c0272,c0274,c0276,c0280,c0282,c0284,c0286,c0288,c0290,c0292,c0294,c0296,c0298,c0300,c0302,c0304,c0306,c0308,c0374,c0376,c0378,c0380,c0382,c0384,c0386,c0388,c0390,c0392,c0394,c0396,c0398,c0400,c0402,c0404,c0406,c0408,c0410,c0412,c0414,c0416,c0418,c0420,c0422,c0424,c0426,c0428,c0430,c0432,c0434,c0436,c0438,c0440,c0442,c0444,c0446,c0448,c0450,c0452,c0454,c0456,c0508,c0510,c0512,c0514,c0516,c0518,c0520,c0526,c0528,c0532,c0534,c0536,c0538,c0540_r,c0542_r,c0544_r,c0546_r,c0556_r,c0558_r,c0560,c0562,c0568,c0570,c0572,crisis08,distot08,incid08,incpol08,othact08,outsus08,probwk08,removl08,stuoff08,svinc08,svpol08,transf08,vioinc08,viopol08,disfire08,disweap08,disdrug08,disalc08,disatt08,disins08,ganghate,disrupt,fr_catmn,fr_lvel,fr_size,fr_urban
79,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,2,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,1,1,3,3,3,3,3,3,1,2,3,3,1,3,3,2,2,4,4,4,5,5,5,5,5,2,-1,1,1,1,2,1,2,2,-1,1,2,2,-1,1,2,1,1,1,1,1,2,1,2,2,-1,2,-1,1,1,1,1,2,-1,0,0,0,0,0,0,0,8,8,2,98,99,6,3,1,0,5,2,0,3,3,98,29,21,7,1,19,2,1,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,4,2,3,2
80,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,2,2,-1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,5,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,3,2,2,1,1,2,3,2,3,2,2,2,4,4,4,5,5,4,5,5,2,-1,1,1,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,2,-1,2,-1,1,1,1,1,1,1,1,1,28,0,0,0,28,0,0,3,19,25,44,50,6,2,0,2,0,1,0,2,3,100,31,34,5,30,19,12,30,0,0,0,30,0,0,0,4,4,0,0,0,1,1,28,0,0,2,3,1,4
82,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,4,2,2,3,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2,3,3,3,3,2,2,2,2,2,4,4,4,4,5,4,5,5,1,2,1,2,1,2,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,2,-1,1,1,2,-1,1,1,2,-1,1,1,1,1,0,0,0,0,0,0,0,1,10,10,90,90,7,8,0,14,0,3,3,3,3,95,20,20,6,6,12,7,1,5,0,0,6,0,0,0,9,5,0,0,1,0,5,0,0,0,1,2,4,4
83,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,4,3,4,4,3,4,4,5,1,2,1,1,1,2,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,1,2,1,1,1,1,1,1,204,0,0,20,160,0,0,4,15,15,40,90,7,13,0,10,0,4,1,3,3,95,25,20,7,190,25,25,166,24,0,0,214,0,0,0,8,8,0,0,3,2,5,180,0,0,2,3,4,2
84,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,3,3,3,3,3,1,2,3,2,3,3,2,2,4,3,3,3,5,3,5,4,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,2,2,-1,1,1,1,1,1,1,1,1,10,0,0,7,3,0,9,4,6,6,90,99,6,7,0,0,11 or more,8,0,3,3,97,23,98,8,40,37,21,5,28,0,0,33,0,0,7,11,0,0,8,13,2,7,10,0,10,3,3,4,4
86,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,3,2,1,2,3,1,1,3,1,1,1,2,2,4,2,3,2,2,1,4,5,1,1,2,-1,1,1,1,2,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,80,0,0,0,80,5,5,20,20,25,20,93,8,11,0,8,0,3,1,2,2,92,50,50,7,163,299,204,134,20,4,5,160,6,6,4,211,116,0,10,23,0,50,80,30,1,4,2,3,1
89,1,1,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,-1,2,1,1,1,2,2,2,1,1,1,2,2,3,3,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,3,3,3,3,3,1,3,3,2,3,3,2,2,5,3,4,5,4,3,5,5,1,2,1,2,1,2,2,-1,1,2,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,0,0,0,0,0,0,0,12,15,10,45,60,7,2,0,0,2,1,0,2,2,95,20,31,5,6,4,3,6,0,0,0,6,0,0,0,4,3,0,0,0,0,6,0,0,0,3,2,1,3
90,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,4,4,4,2,1,2,2,2,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,2,1,2,1,3,3,2,3,3,2,3,3,2,2,2,2,2,5,4,4,4,5,4,4,5,2,-1,1,2,1,2,1,2,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,2,1,1,1,2,2,0,0,0,2,0,0,0,16,10,70,80,6,1,1,2,0,1,0,3,3,98,17,11,6,7,14,1,6,1,0,0,7,0,0,0,11,0,0,0,0,0,5,2,1,0,2,1,2,1
91,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,2,3,2,3,3,3,3,2,3,2,3,3,2,2,3,3,4,4,5,4,2,5,2,-1,2,-1,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,100,0,3,9,88,0,12,5,10,15,50,65,4,8,2,9,0,4,0,3,3,96,25,183,7,132,66,11,89,32,1,0,132,2,2,11,15,2,0,3,12,5,12,100,3,1,2,3,4,2
94,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,3,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,5,5,5,4,5,5,2,-1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,10,0,0,1,8,0,0,0,23,2,50,50,5,7,1,3,0,3,1,3,3,97,15,5,7,10,2,0,8,2,0,0,11,0,0,0,1,0,0,0,0,0,1,9,0,0,3,2,2,4
96,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3,2,3,3,3,3,3,1,3,3,1,3,3,2,2,5,4,4,4,5,4,5,5,2,-1,1,2,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,2,-1,10,0,0,0,10,0,8,0,9,80,25,75,6,3,0,1,0,2,2,3,3,92,20,12,8,23,26,8,21,0,0,0,23,0,0,2,17,6,0,1,2,0,10,10,0,1,1,3,2,4
98,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,4,3,2,1,1,2,1,2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,5,4,5,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,0,0,0,0,0,0,0,0,10,1,95,98,2,1,0,1,0,2,0,3,3,98,8,12,7,0,7,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,3,2
99,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,1,2,-1,2,-1,2,-1,2,-1,2,2,2,-1,2,1,1,1,2,1,2,2,2,1,1,2,4,4,4,2,1,1,2,1,1,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,2,1,2,3,3,2,2,3,1,3,2,2,2,2,2,5,4,4,4,5,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,0,0,0,0,0,0,0,0,13,10,90,90,4,5,0,0,0,1,1,3,3,95,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
102,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,4,5,4,3,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,4,4,5,5,5,5,5,2,-1,1,2,2,-1,2,-1,2,-1,1,2,2,-1,1,2,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,2,75,0,0,0,69,0,0,1,14,8,96,90,7,6,1,16,0,3,1,3,3,90,14,4,6,69,22,6,69,0,0,0,75,1,1,0,14,3,0,0,0,0,0,69,0,0,2,2,3,2
103,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,3,3,2,3,2,2,2,3,2,3,3,2,2,4,2,3,4,4,4,4,5,1,2,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,80,0,4,8,68,0,19,1,10,5,30,40,6,12,0,5,0,1,0,3,3,95,40,40,8,172,153,23,113,40,1,0,157,10,2,19,80,9,0,10,25,4,53,80,4,1,4,2,3,1
104,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,4,4,4,4,1,1,2,1,1,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,2,1,2,2,3,3,3,3,3,2,3,3,3,3,3,2,2,5,4,5,5,5,5,5,5,2,-1,1,2,2,-1,2,-1,2,-1,1,2,2,-1,1,2,1,1,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,1,1,2,-1,3,0,0,0,0,0,0,0,4,0,60,90,0,1,1,0,0,0,1,3,3,96,3,2,8,0,22,2,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,2,1,1,3
105,1,1,1,2,2,1,1,2,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,3,1,1,1,1,1,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,5,3,4,5,5,4,5,5,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,10,0,0,0,0,0,0,0,17,5,90,95,8,8,0,3,0,1,0,3,3,95,10,5,8,0,13,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,1,2,3,4
107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,4,4,4,5,5,5,5,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,52,0,0,0,48,0,0,2,7,10,70,90,7,3,1,1,1,4,2,2,3,97,1,4,8,53,4,2,53,0,0,0,57,0,0,0,1,0,1,0,0,0,4,48,0,0,4,3,4,1
