schid,c0110,c0112,c0114,c0116,c0120,c0122,c0124,c0126,c0128,c0130,c0132,c0134,c0136,c0138,c0140,c0141,c0142,c0143,c0144,c0146,c0148,c0150,c0152,c0154,c0156,c0158,c0160,c0162,c0164,c0166,c0168,c0169,c0170,c0171,c0172,c0173,c0174,c0176,c0178,c0180,c0182,c0184,c0186,c0188,c0190,c0192,c0194,c0196,c0198,c0200,c0202,c0204,c0206,c0208,c0210,c0212,c0214,c0216,c0218,c0220,c0222,c0224,c0226,c0228,c0230,c0244,c0246,c0248,c0250,c0252,c0254,c0256,c0258,c0260,c0262,c0264,c0266,c0268,c0270,c0272,c0274,c0276,c0280,c0282,c0284,c0286,c0288,c0290,c0292,c0294,c0296,c0298,c0300,c0302,c0304,c0306,c0308,c0374,c0376,c0378,c0380,c0382,c0384,c0386,c0388,c0390,c0392,c0394,c0396,c0398,c0400,c0402,c0404,c0406,c0408,c0410,c0412,c0414,c0416,c0418,c0420,c0422,c0424,c0426,c0428,c0430,c0432,c0434,c0436,c0438,c0440,c0442,c0444,c0446,c0448,c0450,c0452,c0454,c0456,c0508,c0510,c0512,c0514,c0516,c0518,c0520,c0526,c0528,c0532,c0534,c0536,c0538,c0540_r,c0542_r,c0544_r,c0546_r,c0556_r,c0558_r,c0560,c0562,c0568,c0570,c0572,crisis08,distot08,incid08,incpol08,othact08,outsus08,probwk08,removl08,stuoff08,svinc08,svpol08,transf08,vioinc08,viopol08,disfire08,disweap08,disdrug08,disalc08,disatt08,disins08,ganghate,disrupt,fr_catmn,fr_lvel,fr_size,fr_urban
314,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,-1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,3,1,3,2,4,4,4,4,1,2,1,1,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,95,0,0,0,95,0,0,1,17,15,40,60,5,22,0,11,0,10,0,2,2,88,153,204,5,283,207,147,140,143,2,0,283,0,0,0,111,56,0,3,65,15,105,95,0,2,4,3,4,4
316,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,2,-1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,4,4,5,2,1,1,1,1,2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3,2,2,3,2,3,3,1,2,3,2,3,3,2,2,5,4,4,4,5,4,5,5,1,2,1,2,1,2,2,-1,1,2,1,2,2,-1,1,1,1,1,1,1,1,2,1,1,2,-1,1,1,1,1,1,1,1,1,5,0,0,0,3,0,0,0,38,0,80,85,6,3,0,4,0,1,0,3,3,96,3,1,6,3,5,1,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,1,4
317,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,-1,2,-1,2,-1,1,1,2,2,2,-1,2,2,1,1,2,1,2,2,2,1,2,2,4,4,4,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,3,3,3,2,2,3,2,2,2,3,1,3,3,2,2,5,4,4,4,5,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,2,-1,1,1,2,-1,20,0,0,10,10,0,0,30,30,35,10,50,8,3,0,3,1,2,0,2,2,90,15,10,1,38,27,14,20,18,0,0,33,1,1,0,21,8,0,0,8,0,10,20,0,0,4,2,2,3
318,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,3,4,3,1,1,2,2,1,2,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,5,5,5,5,5,5,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,2,-1,0,0,0,0,0,0,0,8,4,5,75,80,4,5,1,3,0,1,0,3,3,97,15,10,6,4,5,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,0,0,4,1,3,2
319,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,2,-1,1,1,2,-1,1,1,2,2,2,-1,2,1,1,1,1,1,1,1,2,2,1,2,2,3,2,2,2,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,5,5,5,4,5,5,5,5,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,2,0,0,0,0,0,1,6,10,7,25,50,3,2,2,1,0,1,1,3,3,94,122,86,2,14,47,0,14,0,0,0,41,0,0,0,47,0,0,0,0,0,14,0,0,1,2,1,3,2
320,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,4,4,3,2,1,1,2,2,1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,4,2,4,5,5,4,5,5,1,2,1,2,1,2,2,-1,1,2,1,1,2,-1,1,1,1,1,1,1,1,2,1,1,2,-1,1,1,1,1,1,1,2,-1,10,0,0,0,10,0,0,1,25,4,50,75,7,3,0,12,0,1,0,3,3,96,15,25,6,13,10,0,13,0,1,0,13,0,0,0,8,0,0,0,0,0,3,10,0,2,1,1,2,4
322,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,4,2,1,1,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,2,2,5,2,4,4,5,4,5,5,1,2,1,1,1,2,1,1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,2,-1,0,0,0,0,0,0,0,2,18,10,55,85,8,6,0,15,0,4,0,3,3,95,15,12,6,2,28,3,2,0,1,0,2,0,0,0,27,2,0,0,0,0,2,0,0,2,2,2,3,2
324,1,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,2,-1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,4,4,3,2,1,2,2,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,2,3,2,3,3,3,3,3,1,1,3,2,3,1,2,2,4,3,4,3,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,20,0,1,0,19,3,1,1,10,3,92,95,7,9,0,9,1,4,1,3,3,95,10,10,5,57,152,120,50,3,0,3,57,0,0,1,25,15,0,0,12,10,15,20,0,2,2,3,4,2
326,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,3,2,3,3,3,3,2,2,3,3,2,3,3,2,2,4,4,4,4,5,5,5,5,2,-1,1,2,1,2,2,-1,2,-1,1,2,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,1,1,2,-1,2,0,0,0,2,0,0,0,9,10,85,90,6,4,3,2,1,1,0,3,3,96,43,25,6,4,6,4,4,0,0,0,4,0,0,0,1,1,0,0,0,0,2,2,0,0,2,4,4,2
327,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,5,4,5,3,5,5,2,-1,1,2,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,53,0,0,0,53,0,1,0,2,15,45,85,5,5,0,4,0,2,0,3,3,98,19,6,6,77,63,4,76,0,1,0,77,0,0,1,23,0,0,0,0,1,23,53,0,1,2,2,3,3
328,1,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,4,1,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,3,2,1,2,3,1,2,3,1,2,2,2,2,4,3,4,3,5,4,4,5,1,2,1,2,1,1,2,-1,1,2,1,1,1,2,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,321,0,11,43,245,0,23,16,14,20,30,40,6,13,0,4,0,2,0,3,3,95,117,123,6,349,54,24,269,58,0,0,363,4,4,22,37,14,0,0,16,0,34,299,1,0,4,2,3,4
329,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,3,3,2,3,3,2,3,3,2,2,4,2,4,4,4,4,4,5,1,1,1,2,1,2,2,-1,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,0,0,0,0,0,4,0,0,15,20,40,60,5,15,0,6,0,5,0,2,3,97,10,5,8,11,9,9,0,9,1,2,11,1,1,0,7,7,0,0,2,0,9,0,0,2,4,3,4,4
330,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,4,4,4,3,1,1,2,1,1,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,5,4,5,5,5,4,5,5,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,18,10,17,90,100,4,7,0,9,1,0,1,3,3,96,35,19,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2
331,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,2,3,1,2,3,1,2,2,2,2,4,4,4,3,3,3,4,5,1,2,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,211,0,17,0,0,0,28,20,18,75,35,70,4,11,0,6,0,7,0,4,2,95,77,131,6,38,72,68,0,17,0,0,228,0,0,21,39,39,0,0,8,0,13,17,0,0,4,3,4,1
333,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,3,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,3,2,2,2,2,1,2,2,1,2,2,2,2,5,3,4,4,4,4,4,5,2,-1,1,1,2,-1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,44,0,0,0,44,0,0,40,9,30,25,30,3,10,0,10,0,5,0,3,3,96,288,321,7,90,53,30,88,2,0,0,90,0,0,0,43,24,0,0,3,0,43,44,0,2,4,2,4,1
334,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,3,1,3,3,3,3,3,1,3,3,1,1,3,2,2,5,4,4,5,5,5,5,5,2,-1,1,2,2,-1,2,-1,2,-1,1,2,2,-1,2,-1,1,1,1,1,2,-1,1,1,2,-1,1,1,2,-1,1,1,2,-1,0,0,0,0,0,0,0,2,13,10,80,80,6,4,0,11,7,1,2,3,3,90,44,34,7,3,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,2,1,2,3
336,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,3,4,4,4,5,5,1,2,2,-1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,2,-1,1,1,1,1,2,-1,100,0,0,0,100,0,17,8,30,0,30,30,7,4,0,2,0,2,0,3,3,96,0,37,7,134,39,8,117,0,0,0,117,2,0,17,18,3,0,0,10,0,24,100,0,0,4,3,3,4
338,1,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,2,-1,1,1,1,1,2,-1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,3,2,3,2,2,2,2,3,1,3,3,2,2,4,2,4,2,4,4,4,5,1,2,1,1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,386,0,5,3,378,0,17,2,11,12,65,40,5,20,1,6,0,6,0,4,2,95,72,103,5,416,46,33,378,21,2,0,416,2,2,17,23,10,0,3,5,0,22,386,11,2,3,3,4,2
339,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,-1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,2,2,3,4,5,1,2,2,-1,1,1,1,1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,50,0,0,0,50,0,9,25,9,18,55,55,7,7,0,3,4,7,0,4,1,96,20,15,5,90,93,81,58,25,5,0,85,13,11,7,48,41,0,0,10,5,25,50,9,1,4,3,4,1
340,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,2,1,1,2,-1,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,3,4,4,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,4,4,5,5,4,5,5,1,2,2,-1,2,-1,1,2,2,-1,2,-1,2,-1,1,1,1,1,1,1,2,-1,1,2,2,-1,2,-1,1,1,1,1,2,-1,0,0,0,0,0,0,0,34,1,13,25,30,2,2,0,1,1,0,1,3,3,96,30,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,4
341,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,-1,2,-1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,4,4,3,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,3,2,3,3,3,3,2,3,3,2,2,2,2,2,5,5,5,5,5,5,5,5,1,2,1,2,2,-1,1,2,1,2,1,2,2,-1,1,1,1,1,2,-1,2,-1,1,2,2,-1,2,-1,1,1,1,1,2,-1,0,0,0,0,0,0,0,0,7,20,85,85,0,8,0,7,4,1,2,3,3,90,15,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2
342,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,4,4,4,3,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,4,4,5,4,5,5,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,1,2,2,-1,2,-1,1,1,1,1,1,1,15,0,0,0,15,0,0,16,5,7,96,96,8,3,0,4,0,1,0,3,3,97,15,23,7,23,12,4,23,0,0,0,18,0,0,0,0,0,0,5,0,3,0,15,0,1,3,1,3,1
346,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,3,4,4,3,1,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3,2,3,3,3,3,3,1,3,3,2,2,3,2,2,5,4,5,5,5,4,5,5,2,-1,2,-1,1,2,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,2,1,1,2,-1,2,-1,1,1,1,1,2,-1,0,0,0,0,0,0,0,8,19,8,75,90,6,8,1,0,6,1,1,3,3,90,150,50,7,45,80,0,45,0,0,0,65,0,0,0,75,0,0,0,0,0,45,0,0,0,3,1,4,1
347,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,1,1,1,1,1,1,1,1,1,2,1,2,4,4,4,2,1,1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,3,2,3,3,3,3,3,2,2,3,3,3,3,2,2,4,2,4,4,5,4,5,5,1,2,1,2,1,1,1,2,1,1,1,1,2,-1,1,1,1,1,1,1,1,2,1,1,2,-1,1,1,1,2,1,1,2,-1,2,0,0,0,2,0,1,20,12,5,95,95,4,2,1,4,3,1,1,4,3,97,58,47,6,12,15,5,11,0,1,0,12,0,0,1,10,0,0,0,0,0,10,2,0,0,3,1,2,2
348,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,5,1,1,1,1,1,2,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,93,2,0,0,91,8,0,0,23,10,70,75,7,13,0,9,1,4,0,2,3,93,127,190,7,114,44,39,91,20,0,3,113,0,0,0,13,13,0,0,9,0,12,93,0,0,2,3,4,2
349,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,-1,2,-1,2,-1,2,-1,2,2,2,-1,2,1,1,1,1,1,1,1,1,1,1,1,3,4,3,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,5,4,5,5,4,5,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,2,-1,2,-1,1,1,2,-1,0,0,0,0,0,0,0,12,12,10,50,70,3,12,0,6,0,2,0,1,1,92,100,150,0,0,21,0,0,0,0,0,15,0,0,0,17,0,0,0,0,0,0,0,1,0,4,1,4,1
351,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,3,4,3,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,4,4,5,5,5,5,1,2,1,2,1,2,1,2,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,10,0,0,0,0,0,0,2,23,10,60,85,10,9,1,8,2,1,2,2,3,97,41,50,7,0,15,1,0,0,0,0,14,8,0,0,12,0,0,0,0,0,0,0,0,0,3,1,3,2
354,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,4,3,2,2,2,1,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,3,4,4,4,5,5,5,1,1,1,2,1,2,1,2,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,2,1,1,1,1,1,1,14,0,0,2,12,1,0,1,15,7,90,80,8,6,0,4,0,3,1,3,3,96,31,7,6,22,9,3,17,5,0,0,22,0,0,0,7,1,0,0,0,0,8,14,0,1,3,2,3,2
355,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,4,3,2,3,1,1,2,1,2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,3,2,3,3,3,3,3,2,3,3,2,3,3,2,2,4,3,5,4,4,5,5,5,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,-1,1,2,2,-1,2,-1,1,1,1,1,2,-1,150,0,0,5,140,0,2,7,7,10,70,75,3,2,1,2,0,2,0,3,3,96,351,282,7,155,13,0,148,7,0,0,160,0,0,0,10,0,0,0,0,0,10,145,0,0,4,1,3,2
356,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,4,5,5,5,5,5,5,1,1,1,2,1,2,1,2,2,-1,1,2,2,-1,1,1,1,2,2,-1,2,-1,1,1,1,1,2,-1,1,1,1,1,1,1,38,0,0,0,31,1,0,20,1,15,30,50,6,8,0,3,0,3,0,2,2,63,20,12,8,32,15,7,31,0,0,1,39,0,0,0,7,0,1,0,0,0,0,31,0,0,4,2,2,1
357,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4,3,3,4,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,2,3,2,2,2,2,3,2,2,3,3,2,2,4,3,4,4,4,4,4,4,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,50,0,4,0,0,0,4,1,6,28,94,90,10,10,0,5,0,3,0,2,2,98,29,30,8,10,47,3,6,0,0,0,56,0,0,4,23,3,0,0,0,0,6,4,0,4,3,2,3,2
359,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,3,3,2,3,3,1,3,3,2,3,2,2,2,4,4,4,2,5,2,3,5,2,-1,1,1,1,1,1,2,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,2,2,-1,1,1,1,1,2,-1,2,-1,156,0,0,0,156,0,5,20,21,30,67,67,4,25,0,6,0,5,0,1,3,85,200,300,8,183,99,63,178,0,2,0,183,3,3,5,53,32,0,16,2,0,9,156,11,2,4,3,4,1
360,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,3,3,3,3,3,1,3,3,2,3,3,2,2,3,1,2,4,4,3,5,5,1,2,1,2,1,1,1,2,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,2,1,1,1,1,38,0,2,15,21,0,3,0,8,10,70,85,9,4,1,6,1,3,1,3,3,95,56,41,8,50,28,23,21,27,2,0,50,0,0,2,11,6,0,3,1,0,8,38,0,0,2,2,3,2
