schid,c0014_r,c0016_r,c0110,c0112,c0114,c0116,c0120,c0122,c0124,c0126,c0128,c0130,c0132,c0134,c0136,c0138,c0140,c0141,c0142,c0143,c0144,c0146,c0148,c0150,c0152,c0154,c0156,c0158,c0160,c0162,c0164,c0166,c0168,c0169,c0170,c0171,c0172,c0173,c0174,c0176,c0178,c0180,c0182,c0184,c0186,c0188,c0190,c0192,c0194,c0196,c0198,c0200,c0202,c0204,c0206,c0208,c0210,c0212,c0214,c0216,c0218,c0220,c0222,c0224,c0226,c0228,c0230,c0244,c0246,c0248,c0250,c0252,c0254,c0256,c0258,c0260,c0262,c0264,c0266,c0268,c0270,c0272,c0274,c0276,c0280,c0282,c0284,c0286,c0288,c0290,c0292,c0294,c0296,c0298,c0300,c0302,c0304,c0306,c0308,c0374,c0376,c0378,c0380,c0382,c0384,c0386,c0388,c0390,c0392,c0394,c0396,c0398,c0400,c0402,c0404,c0406,c0408,c0410,c0412,c0414,c0416,c0418,c0420,c0422,c0424,c0426,c0428,c0430,c0432,c0434,c0436,c0438,c0440,c0442,c0444,c0446,c0448,c0450,c0452,c0454,c0456,c0508,c0510,c0512,c0514,c0516,c0518,c0520,c0526,c0528,c0532,c0534,c0536,c0538,c0540_r,c0542_r,c0544_r,c0546_r,c0556_r,c0558_r,c0560,c0562,c0568,c0570,c0572,c0578,c0578_dd,c0578_mm,c0578_yy,c0580,crisis08,distot08,incid08,incpol08,othact08,outsus08,probwk08,removl08,strata,stuoff08,svinc08,svpol08,transf08,vioinc08,viopol08,disfire08,disweap08,disdrug08,disalc08,disatt08,disins08,ganghate,disrupt,sec_ft,sec_pt,fr_catmn,fr_lvel,fr_size,fr_urban,finalwgt,repwgt1,repwgt2,repwgt3,repwgt4,repwgt5,repwgt6,repwgt7,repwgt8,repwgt9,repwgt10,repwgt11,repwgt12,repwgt13,repwgt14,repwgt15,repwgt16,repwgt17,repwgt18,repwgt19,repwgt20,repwgt21,repwgt22,repwgt23,repwgt24,repwgt25,repwgt26,repwgt27,repwgt28,repwgt29,repwgt30,repwgt31,repwgt32,repwgt33,repwgt34,repwgt35,repwgt36,repwgt37,repwgt38,repwgt39,repwgt40,repwgt41,repwgt42,repwgt43,repwgt44,repwgt45,repwgt46,repwgt47,repwgt48,repwgt49,repwgt50,ic0110,ic0112,ic0114,ic0116,ic0120,ic0122,ic0124,ic0126,ic0128,ic0130,ic0132,ic0134,ic0136,ic0138,ic0140,ic0141,ic0142,ic0143,ic0144,ic0146,ic0148,ic0150,ic0152,ic0154,ic0156,ic0158,ic0160,ic0162,ic0164,ic0166,ic0168,ic0169,ic0170,ic0171,ic0172,ic0173,ic0174,ic0176,ic0178,ic0180,ic0182,ic0184,ic0186,ic0188,ic0190,ic0192,ic0194,ic0196,ic0198,ic0200,ic0202,ic0204,ic0206,ic0208,ic0210,ic0212,ic0214,ic0216,ic0218,ic0220,ic0222,ic0224,ic0226,ic0228,ic0230,ic0244,ic0246,ic0248,ic0250,ic0252,ic0254,ic0256,ic0258,ic0260,ic0262,ic0264,ic0266,ic0268,ic0270,ic0272,ic0274,ic0276,ic0280,ic0282,ic0284,ic0286,ic0288,ic0290,ic0292,ic0294,ic0296,ic0298,ic0300,ic0302,ic0304,ic0306,ic0308,ic0374,ic0376,ic0378,ic0380,ic0382,ic0384,ic0386,ic0388,ic0390,ic0392,ic0394,ic0396,ic0398,ic0400,ic0402,ic0404,ic0406,ic0408,ic0410,ic0412,ic0414,ic0416,ic0418,ic0420,ic0422,ic0424,ic0426,ic0428,ic0430,ic0432,ic0434,ic0436,ic0438,ic0440,ic0442,ic0444,ic0446,ic0448,ic0450,ic0452,ic0454,ic0456,ic0508,ic0510,ic0512,ic0514,ic0516,ic0518,ic0520,ic0526,ic0528,ic0532,ic0534,ic0536,ic0538,ic0540,ic0542,ic0544,ic0546,ic0556,ic0558,ic0560,ic0562,ic0568,ic0570,ic0572
894,4,4,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,2,3,2,2,2,1,3,2,1,1,1,2,2,1,1,4,2,2,2,2,2,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,2,-1,1,1,1,1,2,-1,94,0,1,10,70,0,2,5,20,30,60,70,7,11,2,2,0,2,0,2,2,90,75,25,5072008,7,5,2008,30,7,83,1,0,70,11,7,0,242,96,1,0,2,1,0,0,2,0,0,0,81,0,0,1,3,4,2,4,2,13.77379,13.92835,14.14325,14.09238,13.99236,14.12998,14.16745,13.93343,14.23133,14.11694,14.08471,13.94244,13.97174,14.42253,14.10613,13.98127,14.17446,13.91727,14.06165,13.94121,0,14.00707,14.06862,13.98423,13.91044,14.23356,14.07319,13.91146,13.83907,14.00205,14.09229,13.88354,13.6319,14.2602,13.96811,14.07045,14.27691,14.1258,14.04529,13.95643,14.07471,13.85616,13.99531,14.17906,14.31711,13.99368,14.08119,14.16346,13.98071,14.04721,14.13253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,14,14,0,11,0,0,5,0,0,0,0,11,0,10,0,10,0,0,0,0,0
895,1,22,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,3,4,4,1,1,1,1,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,4,4,5,5,5,5,1,2,1,2,1,2,1,2,1,2,1,1,2,-1,1,1,1,1,1,1,1,2,1,1,2,-1,1,2,1,1,1,1,2,-1,0,0,0,0,0,0,0,1,16,12,83,88,8,8,0,11,0,3,1,3,3,97,12,30,3202008,20,3,2008,25,7,4,8,5,2,2,0,0,234,4,0,0,0,2,0,0,0,2,0,2,0,0,0,-1,-1,1,2,3,4,19.05262,19.24159,19.57588,19.32614,18.78426,19.98457,19.33411,18.80277,19.72336,19.11865,19.16174,19.36639,19.36734,19.3924,19.64387,19.4378,19.30987,19.67708,19.348,19.31425,19.65617,19.3193,0,19.58014,19.6887,19.3015,19.9983,19.28706,20.17096,20.13759,18.75458,18.84755,19.88768,19.82882,19.23961,19.05007,19.47599,19.28155,19.59489,19.32815,19.66067,19.5152,19.58352,19.66732,19.61368,19.60709,19.53526,19.17704,19.54384,19.31549,19.3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,11,0,0,0,0,0
896,1,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,-1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,3,3,3,3,3,1,3,3,2,3,3,2,2,4,2,4,4,5,4,5,5,2,-1,1,2,1,2,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,2,1,1,2,-1,1,1,1,1,1,1,1,1,52,0,0,0,115,0,0,0,11,5,80,90,8,7,0,3,0,2,0,3,3,98,12,6,3132008,13,3,2008,120,5,116,14,2,116,0,1,0,233,53,0,0,0,1,0,0,0,0,0,1,115,0,2,0,1,1,2,3,3,16.68692,17.01168,17.0808,16.82143,17.02596,16.99817,16.91595,17.08521,17.14161,17.11599,17.21397,16.84522,17.21311,17.04241,16.78244,16.80408,17.03956,17.15096,17.26247,16.93909,16.98524,16.74477,17.02814,17.19404,17.26946,17.24142,17.06441,17.01339,17.00415,17.24913,17.13371,17.02276,17.13977,17.24195,16.98074,17.09005,17.18112,16.9764,17.1293,16.95798,17.00993,0,16.94745,17.18085,16.92741,16.98574,16.58624,16.78104,16.90635,16.96305,16.67508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6,0,6,0,6,0,6,0,0,0,6,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0
898,2,11,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,3,2,3,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2,1,2,3,1,2,2,2,2,4,3,4,4,5,2,5,4,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,30,0,0,0,30,0,2,0,12,6,83,90,5,9,0,4,0,4,0,3,3,95,26,12,4122008,12,4,2008,60,7,58,46,38,56,0,1,0,344,58,5,5,2,23,17,0,2,10,4,12,30,0,0,0,1,2,3,4,4,9.440909,9.678696,9.653446,9.47219,9.59786,9.726469,9.627918,9.803775,9.593218,9.734076,9.502071,9.583118,9.639269,9.609776,9.398249,9.563393,9.53048,0,9.617336,9.6719,9.605018,9.530238,9.503605,9.688227,9.616331,9.647689,9.607587,9.677303,9.55182,9.664808,9.71116,9.662301,9.622065,9.673131,9.53878,9.583541,9.725538,9.782649,9.72787,9.676478,9.580132,9.749712,9.807472,9.794879,9.689345,9.665555,9.509591,9.667923,9.643638,9.60224,9.49695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2,3,2,3,3,1,2,3,2,3,3,2,2,4,4,4,4,4,4,5,5,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,2,-1,2,-1,50,0,0,10,40,0,10,1,25,25,30,95,8,22,0,7,0,4,0,2,3,95,105,99,3122008,12,3,2008,130,7,89,196,11,60,22,0,0,242,83,0,0,7,170,5,0,1,2,0,36,50,0,4,2,1,4,2,4,2,13.77379,13.92835,14.14325,14.09238,13.99236,14.12998,14.16745,13.93343,14.23133,14.11694,14.08471,13.94244,13.97174,0,14.10613,13.98127,14.17446,13.91727,14.06165,13.94121,14.28576,14.00707,14.06862,13.98423,13.91044,14.23356,14.07319,13.91146,13.83907,14.00205,14.09229,13.88354,13.6319,14.2602,13.96811,14.07045,14.27691,14.1258,14.04529,13.95643,14.07471,13.85616,13.99531,14.17906,14.31711,13.99368,14.08119,14.16346,13.98071,14.04721,14.13253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,,9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,-1,1,1,2,-1,1,2,2,2,2,-1,2,2,2,1,1,1,1,2,1,2,2,2,4,3,3,1,1,2,2,2,2,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,2,3,1,3,1,1,2,2,2,2,3,2,2,2,2,2,4,4,4,4,4,4,5,5,2,-1,2,-1,1,1,1,1,2,-1,2,-1,2,-1,1,2,1,1,1,1,1,1,2,-1,2,-1,2,-1,1,1,1,1,1,1,50,0,6,0,0,0,6,72,8,20,30,75,8,3,0,5,0,0,1,4,2,95,30,35,3212008,21,3,2008,50,2,6,17,2,0,0,0,0,132,51,0,0,6,2,0,0,0,0,0,0,6,0,0,-1,-1,4,1,3,2,66.58472,68.55629,68.21412,67.85118,68.84406,68.48969,67.85621,67.99365,68.01613,67.15561,67.91653,67.97034,67.45686,67.32792,68.4678,67.93903,68.09876,67.74293,67.22157,67.31779,66.81596,67.59148,67.97435,67.97121,67.81115,67.63743,67.65029,68.29371,0,67.7314,68.50186,67.67804,68.0813,68.05767,68.15661,68.36331,67.8384,68.32718,68.55602,67.96886,68.53143,68.44491,68.00449,67.24458,67.47461,67.15921,67.82983,68.09068,68.01211,68.46682,67.98512,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
902,2,6,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,-1,1,2,1,2,2,-1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,3,2,3,3,3,3,3,3,2,3,1,3,3,2,2,4,2,3,4,5,4,4,5,2,-1,1,1,1,1,2,-1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,2,2,-1,1,1,1,1,1,1,1,1,17,0,0,0,17,0,5,8,22,5,75,60,7,18,0,12,0,4,1,2,3,95,53,62,2292008,29,2,2008,31,5,65,60,60,62,3,1,0,343,65,0,0,0,31,31,0,3,0,0,45,17,1,4,2,0,2,3,4,3,9.505251,9.641685,9.556112,9.640381,9.587222,9.706503,9.706676,9.778427,9.51462,9.567562,9.585938,9.609075,9.659569,9.607064,9.565618,9.497341,9.597249,9.744404,9.829165,9.694538,9.737027,9.674172,9.847067,9.708878,9.859257,9.76749,9.658072,9.819284,0,9.857598,9.871751,9.887008,9.858873,9.792089,9.878514,9.835279,9.6182,9.718545,9.673883,9.745946,9.671775,9.738745,9.69417,9.634333,9.61402,9.516599,9.757761,9.663566,9.584628,9.65997,9.791254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,1,4,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1,1,2,-1,1,1,1,1,1,2,2,-1,2,1,1,1,1,1,2,1,2,1,2,2,3,4,4,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,4,4,4,5,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,10,13,2,10,5,70,80,6,10,0,9,0,5,0,3,3,98,1438,286,4082008,8,4,2008,75,4,22,68,45,0,9,0,10,344,63,0,0,3,25,13,0,0,11,11,0,0,0,4,2,1,3,3,4,4,9.311078,9.542845,9.464311,9.425093,9.449903,9.544065,9.511982,9.680037,9.385765,9.47073,9.382607,9.451136,9.406881,9.40536,9.460445,9.384765,9.409032,9.575878,0,9.532866,9.4368,9.432111,9.394675,9.480944,9.434122,9.474378,9.528688,9.560788,9.474856,9.472008,9.444181,9.545935,9.37263,9.458961,9.466977,9.45736,9.471345,9.606036,9.583631,9.56574,9.541491,9.568659,9.723574,9.625507,9.547748,9.509124,9.596895,9.599524,9.533686,9.493228,9.612804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,1,15,1,1,1,2,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,3,2,3,2,2,2,5,4,4,5,5,4,5,5,2,-1,1,2,1,2,2,-1,2,-1,1,2,2,-1,1,2,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,3,0,0,0,3,0,0,10,20,1,92,85,5,8,2,2,0,6,0,3,3,95,10,3,4102008,10,4,2008,,8,3,15,15,3,0,0,0,332,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,3,3,3,2,16.72891,17.04176,17.27219,17.26913,17.33593,16.99093,17.20121,17.06065,17.26164,17.1137,17.33938,17.14429,17.08015,16.82176,17.1393,17.2668,17.26785,17.11265,16.87321,16.90758,16.81472,17.00488,17.09626,17.06452,17.14532,17.12145,17.21358,17.27975,17.28419,0,16.91027,17.19042,16.92399,16.80297,17.0507,17.02795,17.05714,17.11473,16.83508,16.70555,17.20536,16.8888,16.90455,16.73955,17.14473,17.12347,16.8535,17.21053,17.05677,17.17763,16.93427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,1,4,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,-1,1,1,2,-1,1,1,2,2,1,-1,2,1,1,1,1,1,2,1,2,1,1,2,4,4,4,4,1,2,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,5,4,5,4,5,5,5,5,1,2,1,2,1,1,2,-1,1,2,1,1,2,-1,1,2,2,-1,1,1,2,-1,1,1,2,-1,1,1,2,-1,1,1,1,1,0,0,0,0,0,0,1,6,17,3,95,100,4,4,0,6,3,0,0,3,3,95,15,5,3182008,18,3,2008,15,3,0,1,1,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,3,1,3,2,66.58472,68.55629,68.21412,67.85118,68.84406,68.48969,67.85621,67.99365,68.01613,67.15561,67.91653,67.97034,67.45686,67.32792,68.4678,67.93903,68.09876,67.74293,67.22157,67.31779,66.81596,67.59148,67.97435,0,67.81115,67.63743,67.65029,68.29371,68.50477,67.7314,68.50186,67.67804,68.0813,68.05767,68.15661,68.36331,67.8384,68.32718,68.55602,67.96886,68.53143,68.44491,68.00449,67.24458,67.47461,67.15921,67.82983,68.09068,68.01211,68.46682,67.98512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,10,0,0,0,0,0
906,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,2,4,4,4,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,5,4,5,4,5,5,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,23,0,0,0,23,0,0,1,15,10,90,90,8,12,0,18,10,6,0,3,3,96,75,28,3172008,17,3,2008,55,8,31,16,0,31,0,0,0,242,31,1,0,0,16,0,0,0,0,0,8,23,0,1,1,0,1,2,4,2,13.77379,13.92835,14.14325,14.09238,13.99236,14.12998,14.16745,13.93343,14.23133,14.11694,14.08471,13.94244,13.97174,14.42253,14.10613,13.98127,14.17446,13.91727,14.06165,13.94121,14.28576,14.00707,14.06862,13.98423,13.91044,14.23356,14.07319,13.91146,13.83907,14.00205,14.09229,13.88354,13.6319,0,13.96811,14.07045,14.27691,14.1258,14.04529,13.95643,14.07471,13.85616,13.99531,14.17906,14.31711,13.99368,14.08119,14.16346,13.98071,14.04721,14.13253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
907,1,23,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,4,4,3,1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,3,3,2,3,2,2,3,2,3,3,2,2,4,3,4,5,5,4,5,5,1,1,1,1,2,-1,2,-1,1,1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,4,0,0,0,4,1,0,0,11,10,70,65,7,4,0,2,0,2,0,3,3,96,8,3,3122008,12,3,2008,30,8,9,11,7,4,4,0,1,214,9,2,2,0,7,5,0,1,0,0,4,4,0,0,1,1,2,2,1,4,40.10717,40.32456,40.80544,41.20859,39.94807,41.74863,40.74852,39.46836,41.10707,40.39685,40.54218,0,40.48383,41.00167,40.99369,41.06861,40.87246,40.72819,40.191,40.40204,41.05787,40.75731,40.91663,40.5935,41.12753,40.48608,42.00241,40.53006,42.15184,42.24063,39.52986,39.66039,41.61181,41.67833,40.43415,40.49366,41.3997,41.43031,40.92945,41.12525,41.408,41.37882,41.94023,41.1824,41.35559,41.56652,41.59572,40.33057,40.74663,40.7506,41.17979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
